Entity,Code,Year,Global average temperature anomaly relative to 1861-1890,Lower bound of the annual temperature anomaly (95% confidence interval),Upper bound of the annual temperature anomaly (95% confidence interval)
World,OWID_WRL,1985,0.41202748,0.3779612,0.4460938
World,OWID_WRL,1986,0.45798472,0.42670575,0.4892637
World,OWID_WRL,1987,0.60532415,0.5744833,0.636165
World,OWID_WRL,1988,0.6444495,0.60933304,0.6795659
World,OWID_WRL,1989,0.5415481,0.5067962,0.5762999
World,OWID_WRL,1990,0.7228801,0.68686646,0.7588938
World,OWID_WRL,1991,0.7011943,0.6663339,0.73605466
World,OWID_WRL,1992,0.48719457,0.45317987,0.5212093
World,OWID_WRL,1993,0.52800494,0.4905145,0.5654954
World,OWID_WRL,1994,0.59584755,0.5607107,0.63098437
World,OWID_WRL,1995,0.7391639,0.70595354,0.7723743
World,OWID_WRL,1996,0.6389871,0.60547775,0.6724965
World,OWID_WRL,1997,0.7846063,0.7523886,0.81682396
World,OWID_WRL,1998,0.93963945,0.90536654,0.9739124
World,OWID_WRL,1999,0.6867827,0.65513253,0.71843296
World,OWID_WRL,2000,0.6933825,0.6605256,0.72623944
World,OWID_WRL,2001,0.8515781,0.8203661,0.88279015
World,OWID_WRL,2002,0.9057643,0.87507963,0.93644893
World,OWID_WRL,2003,0.9064679,0.8735404,0.9393955
World,OWID_WRL,2004,0.82966846,0.7966361,0.8627009
World,OWID_WRL,2005,0.96916026,0.93800306,1.0003175
World,OWID_WRL,2006,0.93485045,0.90427077,0.96543014
World,OWID_WRL,2007,0.9539991,0.9236509,0.9843472
World,OWID_WRL,2008,0.8279476,0.7949551,0.8609401
World,OWID_WRL,2009,0.9590794,0.92755336,0.9906054
World,OWID_WRL,2010,1.0426692,1.0113736,1.0739646
World,OWID_WRL,2011,0.8999955,0.86829895,0.93169206
World,OWID_WRL,2012,0.9399048,0.907153,0.9726566
World,OWID_WRL,2013,0.9858731,0.9507816,1.0209646
World,OWID_WRL,2014,1.0351694,1.0012026,1.0691361
World,OWID_WRL,2015,1.1874121,1.1535848,1.2212394
World,OWID_WRL,2016,1.2952248,1.2640612,1.3263884
World,OWID_WRL,2017,1.207472,1.1770725,1.2378715
World,OWID_WRL,2018,1.1249518,1.0933498,1.1565537
World,OWID_WRL,2019,1.2533703,1.219085,1.2876556
World,OWID_WRL,2020,1.2852182,1.2505958,1.3198407
World,OWID_WRL,2021,1.1242033,1.0877554,1.1606511
World,OWID_WRL,2022,1.1636031,1.1275554,1.1996508
World,OWID_WRL,2023,1.4626105,1.4239484,1.5012726
World,OWID_WRL,2024,1.5430979,1.5038866,1.5823091
World,OWID_WRL,2025,1.6256422,1.371569,1.8797154
